points=197  ; rmse=0.70318 ; std=0.51571
points=106  ; rmse=1.2028  ; std=1.11214
points=916  ; rmse=0.33729 ; std=0.32723
points=167  ; rmse=1.62756 ; std=0.58941
points=80   ; rmse=1.75638 ; std=0.44344
points=204  ; rmse=0.82584 ; std=0.78429
points=120  ; rmse=0.94764 ; std=0.68841
points=922  ; rmse=0.40499 ; std=0.2717 
points=181  ; rmse=0.77696 ; std=0.6157 
points=75   ; rmse=0.51745 ; std=0.35196
points=207  ; rmse=0.77732 ; std=0.76967
points=134  ; rmse=0.83682 ; std=0.54181
points=900  ; rmse=0.54947 ; std=0.47804
points=171  ; rmse=1.47928 ; std=0.82924
points=74   ; rmse=0.6034  ; std=0.60317
points=236  ; rmse=0.567   ; std=0.56699
points=123  ; rmse=0.63156 ; std=0.63011
points=946  ; rmse=0.60498 ; std=0.58933
points=155  ; rmse=0.40203 ; std=0.32811
points=52   ; rmse=0.36537 ; std=0.34409
points=292  ; rmse=0.29237 ; std=0.15244
points=116  ; rmse=0.53581 ; std=0.22243
points=877  ; rmse=0.41131 ; std=0.35664
points=167  ; rmse=0.327   ; std=0.29913
points=76   ; rmse=0.52056 ; std=0.39725
points=254  ; rmse=0.75669 ; std=0.62091
points=103  ; rmse=0.40745 ; std=0.35392
points=941  ; rmse=0.46686 ; std=0.30607
points=123  ; rmse=0.71169 ; std=0.52204
points=49   ; rmse=0.55362 ; std=0.47256
points=259  ; rmse=0.18645 ; std=0.17883
points=92   ; rmse=1.24516 ; std=1.24511
points=875  ; rmse=0.18337 ; std=0.07364
points=128  ; rmse=0.58288 ; std=0.49657
points=55   ; rmse=0.80944 ; std=0.75452
points=278  ; rmse=0.21953 ; std=0.20344
points=91   ; rmse=0.60639 ; std=0.60603
points=880  ; rmse=0.55677 ; std=0.24562
points=164  ; rmse=0.90097 ; std=0.88663
points=63   ; rmse=0.3793  ; std=0.36792
points=270  ; rmse=0.87644 ; std=0.79483
points=80   ; rmse=0.77941 ; std=0.77939
points=859  ; rmse=0.39655 ; std=0.15001
points=122  ; rmse=0.3491  ; std=0.28278
points=45   ; rmse=0.61005 ; std=0.25394
points=275  ; rmse=0.35661 ; std=0.18581
points=90   ; rmse=0.65356 ; std=0.52398
points=912  ; rmse=1.05437 ; std=0.56198
points=127  ; rmse=0.92946 ; std=0.85025
points=52   ; rmse=0.31829 ; std=0.27527
points=264  ; rmse=0.29489 ; std=0.13206
points=89   ; rmse=0.51413 ; std=0.35621
points=934  ; rmse=0.88911 ; std=0.70723
points=150  ; rmse=0.65824 ; std=0.57506
points=57   ; rmse=0.56517 ; std=0.565  
points=259  ; rmse=0.63689 ; std=0.28038
points=70   ; rmse=0.62544 ; std=0.50727
points=940  ; rmse=0.4832  ; std=0.37779
points=113  ; rmse=0.32056 ; std=0.29271
points=51   ; rmse=0.53241 ; std=0.45748
points=246  ; rmse=0.42891 ; std=0.42275
points=61   ; rmse=0.37465 ; std=0.35283
points=875  ; rmse=0.32976 ; std=0.05945
points=134  ; rmse=0.82693 ; std=0.67592
points=42   ; rmse=1.23787 ; std=1.20711
points=245  ; rmse=0.61446 ; std=0.47477
points=63   ; rmse=0.31704 ; std=0.31536
points=857  ; rmse=0.49248 ; std=0.4354 
points=114  ; rmse=0.60024 ; std=0.1654 
points=48   ; rmse=1.03474 ; std=0.92355
points=236  ; rmse=0.32927 ; std=0.10966
points=64   ; rmse=0.64673 ; std=0.41322
points=904  ; rmse=0.32599 ; std=0.26345
points=97   ; rmse=0.23019 ; std=0.13328
points=38   ; rmse=0.80689 ; std=0.64649
points=239  ; rmse=0.52101 ; std=0.52033
points=60   ; rmse=1.04066 ; std=0.96087
points=947  ; rmse=0.50261 ; std=0.50251
points=100  ; rmse=0.86065 ; std=0.76475
points=34   ; rmse=1.55781 ; std=1.07529
points=241  ; rmse=0.37796 ; std=0.25259
points=66   ; rmse=0.90871 ; std=0.41202
points=905  ; rmse=0.83997 ; std=0.83988
points=99   ; rmse=0.70598 ; std=0.64511
points=42   ; rmse=0.98495 ; std=0.93618
points=245  ; rmse=0.58891 ; std=0.34698
points=66   ; rmse=0.81755 ; std=0.80382
points=927  ; rmse=0.41375 ; std=0.29414
points=92   ; rmse=0.06833 ; std=0.06816
points=32   ; rmse=0.97504 ; std=0.7784 
